flight_no,airline,destination,departure_time,flight_status
OZ602,Asiana Airlines,Seoul,2024-03-29 09:45:00,On Time
JL771,Japan Airlines,Tokyo,2024-03-29 09:55:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-03-29 10:31:00,Delayed
KE601,Korean Air,Seoul,2024-03-29 11:34:00,On Time
QF7,Qantas,Los Angeles,2024-03-29 11:51:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-03-29 15:45:00,On Time
QF1,Qantas,Singapore,2024-03-29 16:25:00,On Time
QR007,Qatar Airways,Doha,2024-03-29 20:47:00,On Time
EK413,Emirates,Dubai,2024-03-29 21:09:00,On Time
GA715,Garuda Indonesia,Bali,2024-03-30 07:27:00,On Time
TR13,Scoot,Singapore,2024-03-30 07:50:00,On Time
SQ211,Singapore Airlines,Singapore,2024-03-30 08:00:00,On Time
TG476,Thai Airways,Bangkok,2024-03-30 08:59:00,Delayed
MU502,China Eastern,Shanghai,2024-03-30 09:19:00,On Time
PR211,Philippine Airlines,Manila,2024-03-30 09:29:00,Delayed
OZ602,Asiana Airlines,Seoul,2024-03-30 09:48:00,On Time
JL771,Japan Airlines,Tokyo,2024-03-30 09:55:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-03-30 10:30:00,On Time
NH880,ANA,Tokyo,2024-03-30 11:20:00,On Time
KE601,Korean Air,Seoul,2024-03-30 11:35:00,On Time
QF7,Qantas,Los Angeles,2024-03-30 11:51:00,On Time
SQ213,Singapore Airlines,Singapore,2024-03-30 13:29:00,On Time
QF1,Qantas,Singapore,2024-03-30 16:32:00,On Time
UA839,United Airlines,Los Angeles,2024-03-30 20:58:00,On Time
EK413,Emirates,Dubai,2024-03-30 21:11:00,On Time
GA715,Garuda Indonesia,Bali,2024-03-31 07:31:00,On Time
5J32,Cebu Pacific,Manila,2024-03-31 08:01:00,On Time
SQ211,Singapore Airlines,Singapore,2024-03-31 08:05:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-03-31 08:47:00,On Time
TG476,Thai Airways,Bangkok,2024-03-31 09:04:00,Delayed
MU502,China Eastern,Shanghai,2024-03-31 09:10:00,On Time
PR211,Philippine Airlines,Manila,2024-03-31 09:26:00,Delayed
OZ602,Asiana Airlines,Seoul,2024-03-31 09:42:00,On Time
JL771,Japan Airlines,Tokyo,2024-03-31 09:55:00,On Time
CA781,Air China,Beijing,2024-03-31 10:04:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-03-31 10:25:00,On Time
NH880,ANA,Tokyo,2024-03-31 11:14:00,On Time
KE601,Korean Air,Seoul,2024-03-31 11:35:00,On Time
QF7,Qantas,Los Angeles,2024-03-31 11:50:00,On Time
SQ213,Singapore Airlines,Singapore,2024-03-31 13:25:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-03-31 15:43:00,On Time
QF1,Qantas,Singapore,2024-03-31 16:25:00,On Time
QR007,Qatar Airways,Doha,2024-03-31 20:40:00,On Time
UA839,United Airlines,Los Angeles,2024-03-31 20:58:00,On Time
EK413,Emirates,Dubai,2024-03-31 21:12:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-01 07:30:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-01 08:03:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-01 08:49:00,Delayed
TG476,Thai Airways,Bangkok,2024-04-01 09:01:00,On Time
MU502,China Eastern,Shanghai,2024-04-01 09:19:00,On Time
PR211,Philippine Airlines,Manila,2024-04-01 09:30:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-01 09:46:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-01 10:01:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-01 10:35:00,On Time
KE601,Korean Air,Seoul,2024-04-01 11:34:00,Delayed
QF7,Qantas,Los Angeles,2024-04-01 12:00:00,Delayed
SQ213,Singapore Airlines,Singapore,2024-04-01 13:33:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-01 15:48:00,On Time
QF1,Qantas,Singapore,2024-04-01 16:25:00,On Time
QR007,Qatar Airways,Doha,2024-04-01 20:41:00,Cancelled
EK413,Emirates,Dubai,2024-04-01 21:10:00,Delayed
GA715,Garuda Indonesia,Bali,2024-04-02 07:35:00,On Time
TR13,Scoot,Singapore,2024-04-02 07:43:00,On Time
5J32,Cebu Pacific,Manila,2024-04-02 07:55:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-02 08:04:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-02 08:47:00,On Time
MU502,China Eastern,Shanghai,2024-04-02 09:18:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-02 09:59:00,On Time
CA781,Air China,Beijing,2024-04-02 09:59:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-02 10:34:00,On Time
NH880,ANA,Tokyo,2024-04-02 11:12:00,On Time
KE601,Korean Air,Seoul,2024-04-02 11:31:00,On Time
QF7,Qantas,Los Angeles,2024-04-02 11:54:00,On Time
QF1,Qantas,Singapore,2024-04-02 16:26:00,On Time
UA839,United Airlines,Los Angeles,2024-04-02 21:04:00,On Time
EK413,Emirates,Dubai,2024-04-02 21:10:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-03 07:30:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-03 07:58:00,On Time
TG476,Thai Airways,Bangkok,2024-04-03 09:05:00,On Time
MU502,China Eastern,Shanghai,2024-04-03 09:10:00,On Time
PR211,Philippine Airlines,Manila,2024-04-03 09:30:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-03 09:46:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-03 09:58:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-04-03 10:31:00,On Time
KE601,Korean Air,Seoul,2024-04-03 11:29:00,On Time
QF7,Qantas,Los Angeles,2024-04-03 11:55:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-03 13:32:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-03 15:46:00,On Time
QF1,Qantas,Singapore,2024-04-03 16:27:00,On Time
QR007,Qatar Airways,Doha,2024-04-03 20:47:00,On Time
EK413,Emirates,Dubai,2024-04-03 21:11:00,Delayed
GA715,Garuda Indonesia,Bali,2024-04-04 07:26:00,On Time
TR13,Scoot,Singapore,2024-04-04 07:40:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-04 08:03:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-04 08:45:00,On Time
TG476,Thai Airways,Bangkok,2024-04-04 08:59:00,On Time
MU502,China Eastern,Shanghai,2024-04-04 09:11:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-04 09:55:00,Cancelled
CA781,Air China,Beijing,2024-04-04 10:02:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-04 10:31:00,On Time
NH880,ANA,Tokyo,2024-04-04 11:10:00,On Time
KE601,Korean Air,Seoul,2024-04-04 11:34:00,On Time
QF7,Qantas,Los Angeles,2024-04-04 11:56:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-04 13:30:00,On Time
QF1,Qantas,Singapore,2024-04-04 16:26:00,On Time
UA839,United Airlines,Los Angeles,2024-04-04 20:58:00,On Time
EK413,Emirates,Dubai,2024-04-04 21:07:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-05 07:32:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-05 08:02:00,Delayed
5J32,Cebu Pacific,Manila,2024-04-05 08:05:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-05 08:49:00,On Time
MU502,China Eastern,Shanghai,2024-04-05 09:15:00,Delayed
PR211,Philippine Airlines,Manila,2024-04-05 09:33:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-05 09:50:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-05 09:59:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-05 10:33:00,On Time
KE601,Korean Air,Seoul,2024-04-05 11:30:00,On Time
QF7,Qantas,Los Angeles,2024-04-05 11:53:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-05 15:42:00,On Time
QF1,Qantas,Singapore,2024-04-05 16:30:00,Cancelled
QR007,Qatar Airways,Doha,2024-04-05 20:43:00,On Time
EK413,Emirates,Dubai,2024-04-05 21:14:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-06 07:34:00,On Time
TR13,Scoot,Singapore,2024-04-06 07:48:00,Delayed
SQ211,Singapore Airlines,Singapore,2024-04-06 08:04:00,On Time
TG476,Thai Airways,Bangkok,2024-04-06 08:58:00,Delayed
MU502,China Eastern,Shanghai,2024-04-06 09:20:00,On Time
PR211,Philippine Airlines,Manila,2024-04-06 09:30:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-06 09:49:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-06 09:56:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-06 10:25:00,On Time
NH880,ANA,Tokyo,2024-04-06 11:16:00,On Time
KE601,Korean Air,Seoul,2024-04-06 11:27:00,On Time
QF7,Qantas,Los Angeles,2024-04-06 11:52:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-06 13:26:00,Delayed
QF1,Qantas,Singapore,2024-04-06 16:33:00,On Time
UA839,United Airlines,Los Angeles,2024-04-06 21:02:00,On Time
EK413,Emirates,Dubai,2024-04-06 21:08:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-07 07:32:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-07 07:58:00,On Time
5J32,Cebu Pacific,Manila,2024-04-07 08:00:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-07 08:48:00,On Time
TG476,Thai Airways,Bangkok,2024-04-07 09:00:00,On Time
MU502,China Eastern,Shanghai,2024-04-07 09:15:00,On Time
PR211,Philippine Airlines,Manila,2024-04-07 09:33:00,Delayed
OZ602,Asiana Airlines,Seoul,2024-04-07 09:49:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-07 10:05:00,On Time
CA781,Air China,Beijing,2024-04-07 10:05:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-07 10:29:00,On Time
NH880,ANA,Tokyo,2024-04-07 11:20:00,On Time
KE601,Korean Air,Seoul,2024-04-07 11:33:00,On Time
QF7,Qantas,Los Angeles,2024-04-07 11:59:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-07 13:29:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-07 15:41:00,On Time
QF1,Qantas,Singapore,2024-04-07 16:28:00,On Time
QR007,Qatar Airways,Doha,2024-04-07 20:47:00,On Time
UA839,United Airlines,Los Angeles,2024-04-07 21:05:00,Delayed
EK413,Emirates,Dubai,2024-04-07 21:12:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-08 07:35:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-08 08:00:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-08 08:45:00,On Time
TG476,Thai Airways,Bangkok,2024-04-08 08:56:00,On Time
MU502,China Eastern,Shanghai,2024-04-08 09:11:00,On Time
PR211,Philippine Airlines,Manila,2024-04-08 09:28:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-08 09:42:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-08 09:59:00,Delayed
CX101,Cathay Pacific,Hong Kong,2024-04-08 10:27:00,On Time
KE601,Korean Air,Seoul,2024-04-08 11:26:00,On Time
QF7,Qantas,Los Angeles,2024-04-08 11:56:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-08 13:25:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-08 15:49:00,On Time
QF1,Qantas,Singapore,2024-04-08 16:26:00,On Time
QR007,Qatar Airways,Doha,2024-04-08 20:40:00,On Time
EK413,Emirates,Dubai,2024-04-08 21:06:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-09 07:26:00,On Time
TR13,Scoot,Singapore,2024-04-09 07:46:00,On Time
5J32,Cebu Pacific,Manila,2024-04-09 08:01:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-09 08:05:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-09 08:42:00,On Time
MU502,China Eastern,Shanghai,2024-04-09 09:19:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-09 09:59:00,On Time
CA781,Air China,Beijing,2024-04-09 10:04:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-09 10:31:00,Delayed
NH880,ANA,Tokyo,2024-04-09 11:15:00,On Time
KE601,Korean Air,Seoul,2024-04-09 11:25:00,On Time
QF7,Qantas,Los Angeles,2024-04-09 11:59:00,On Time
QF1,Qantas,Singapore,2024-04-09 16:30:00,On Time
UA839,United Airlines,Los Angeles,2024-04-09 21:00:00,On Time
EK413,Emirates,Dubai,2024-04-09 21:12:00,Cancelled
GA715,Garuda Indonesia,Bali,2024-04-10 07:34:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-10 07:57:00,On Time
TG476,Thai Airways,Bangkok,2024-04-10 08:57:00,On Time
MU502,China Eastern,Shanghai,2024-04-10 09:13:00,On Time
PR211,Philippine Airlines,Manila,2024-04-10 09:25:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-10 09:41:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-10 10:03:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-10 10:34:00,Delayed
KE601,Korean Air,Seoul,2024-04-10 11:27:00,On Time
QF7,Qantas,Los Angeles,2024-04-10 11:53:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-10 13:34:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-10 15:48:00,On Time
QF1,Qantas,Singapore,2024-04-10 16:34:00,On Time
QR007,Qatar Airways,Doha,2024-04-10 20:43:00,On Time
EK413,Emirates,Dubai,2024-04-10 21:05:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-11 07:33:00,On Time
TR13,Scoot,Singapore,2024-04-11 07:40:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-11 07:59:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-11 08:43:00,On Time
TG476,Thai Airways,Bangkok,2024-04-11 08:56:00,On Time
MU502,China Eastern,Shanghai,2024-04-11 09:18:00,On Time
CA781,Air China,Beijing,2024-04-11 10:04:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-11 10:05:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-11 10:35:00,On Time
NH880,ANA,Tokyo,2024-04-11 11:10:00,Delayed
KE601,Korean Air,Seoul,2024-04-11 11:30:00,On Time
QF7,Qantas,Los Angeles,2024-04-11 11:59:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-11 13:28:00,On Time
QF1,Qantas,Singapore,2024-04-11 16:25:00,On Time
UA839,United Airlines,Los Angeles,2024-04-11 21:02:00,On Time
EK413,Emirates,Dubai,2024-04-11 21:12:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-12 07:25:00,Cancelled
SQ211,Singapore Airlines,Singapore,2024-04-12 08:04:00,On Time
5J32,Cebu Pacific,Manila,2024-04-12 08:04:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-12 08:44:00,On Time
MU502,China Eastern,Shanghai,2024-04-12 09:10:00,On Time
PR211,Philippine Airlines,Manila,2024-04-12 09:28:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-12 09:45:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-12 10:01:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-12 10:35:00,On Time
KE601,Korean Air,Seoul,2024-04-12 11:33:00,On Time
QF7,Qantas,Los Angeles,2024-04-12 11:59:00,Delayed
CX103,Cathay Pacific,Hong Kong,2024-04-12 15:44:00,On Time
QF1,Qantas,Singapore,2024-04-12 16:26:00,On Time
QR007,Qatar Airways,Doha,2024-04-12 20:41:00,On Time
EK413,Emirates,Dubai,2024-04-12 21:15:00,Delayed
GA715,Garuda Indonesia,Bali,2024-04-13 07:35:00,On Time
TR13,Scoot,Singapore,2024-04-13 07:45:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-13 08:03:00,On Time
TG476,Thai Airways,Bangkok,2024-04-13 08:58:00,Delayed
MU502,China Eastern,Shanghai,2024-04-13 09:19:00,On Time
PR211,Philippine Airlines,Manila,2024-04-13 09:28:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-13 09:47:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-13 10:02:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-13 10:31:00,On Time
NH880,ANA,Tokyo,2024-04-13 11:17:00,On Time
KE601,Korean Air,Seoul,2024-04-13 11:28:00,On Time
QF7,Qantas,Los Angeles,2024-04-13 12:00:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-13 13:27:00,On Time
QF1,Qantas,Singapore,2024-04-13 16:25:00,On Time
UA839,United Airlines,Los Angeles,2024-04-13 20:56:00,On Time
EK413,Emirates,Dubai,2024-04-13 21:05:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-14 07:25:00,On Time
5J32,Cebu Pacific,Manila,2024-04-14 07:55:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-14 08:01:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-14 08:45:00,On Time
TG476,Thai Airways,Bangkok,2024-04-14 08:59:00,On Time
MU502,China Eastern,Shanghai,2024-04-14 09:13:00,Delayed
PR211,Philippine Airlines,Manila,2024-04-14 09:27:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-14 09:45:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-14 09:56:00,Delayed
CA781,Air China,Beijing,2024-04-14 10:04:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-14 10:27:00,On Time
NH880,ANA,Tokyo,2024-04-14 11:13:00,On Time
KE601,Korean Air,Seoul,2024-04-14 11:33:00,On Time
QF7,Qantas,Los Angeles,2024-04-14 11:53:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-14 13:30:00,Delayed
CX103,Cathay Pacific,Hong Kong,2024-04-14 15:40:00,On Time
QF1,Qantas,Singapore,2024-04-14 16:34:00,On Time
QR007,Qatar Airways,Doha,2024-04-14 20:47:00,On Time
UA839,United Airlines,Los Angeles,2024-04-14 20:57:00,On Time
EK413,Emirates,Dubai,2024-04-14 21:10:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-15 07:30:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-15 08:04:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-15 08:40:00,On Time
TG476,Thai Airways,Bangkok,2024-04-15 08:58:00,On Time
MU502,China Eastern,Shanghai,2024-04-15 09:20:00,On Time
PR211,Philippine Airlines,Manila,2024-04-15 09:31:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-15 09:42:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-15 10:02:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-15 10:32:00,On Time
KE601,Korean Air,Seoul,2024-04-15 11:25:00,On Time
QF7,Qantas,Los Angeles,2024-04-15 11:56:00,Delayed
SQ213,Singapore Airlines,Singapore,2024-04-15 13:27:00,Delayed
CX103,Cathay Pacific,Hong Kong,2024-04-15 15:47:00,On Time
QF1,Qantas,Singapore,2024-04-15 16:28:00,On Time
QR007,Qatar Airways,Doha,2024-04-15 20:43:00,On Time
EK413,Emirates,Dubai,2024-04-15 21:10:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-16 07:33:00,On Time
TR13,Scoot,Singapore,2024-04-16 07:41:00,On Time
5J32,Cebu Pacific,Manila,2024-04-16 07:55:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-16 07:59:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-16 08:49:00,Cancelled
MU502,China Eastern,Shanghai,2024-04-16 09:10:00,On Time
CA781,Air China,Beijing,2024-04-16 09:57:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-16 09:59:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-16 10:29:00,On Time
NH880,ANA,Tokyo,2024-04-16 11:20:00,On Time
KE601,Korean Air,Seoul,2024-04-16 11:27:00,Delayed
QF7,Qantas,Los Angeles,2024-04-16 11:55:00,On Time
QF1,Qantas,Singapore,2024-04-16 16:25:00,On Time
UA839,United Airlines,Los Angeles,2024-04-16 20:56:00,On Time
EK413,Emirates,Dubai,2024-04-16 21:13:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-17 07:30:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-17 07:59:00,On Time
TG476,Thai Airways,Bangkok,2024-04-17 09:01:00,On Time
MU502,China Eastern,Shanghai,2024-04-17 09:18:00,Cancelled
PR211,Philippine Airlines,Manila,2024-04-17 09:30:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-17 09:42:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-17 10:00:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-17 10:26:00,Delayed
KE601,Korean Air,Seoul,2024-04-17 11:29:00,On Time
QF7,Qantas,Los Angeles,2024-04-17 11:56:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-17 13:25:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-17 15:44:00,On Time
QF1,Qantas,Singapore,2024-04-17 16:31:00,On Time
QR007,Qatar Airways,Doha,2024-04-17 20:49:00,On Time
EK413,Emirates,Dubai,2024-04-17 21:14:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-18 07:31:00,On Time
TR13,Scoot,Singapore,2024-04-18 07:49:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-18 07:59:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-18 08:46:00,On Time
TG476,Thai Airways,Bangkok,2024-04-18 09:05:00,On Time
MU502,China Eastern,Shanghai,2024-04-18 09:18:00,On Time
CA781,Air China,Beijing,2024-04-18 09:56:00,Delayed
JL771,Japan Airlines,Tokyo,2024-04-18 10:00:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-18 10:32:00,Delayed
NH880,ANA,Tokyo,2024-04-18 11:17:00,On Time
KE601,Korean Air,Seoul,2024-04-18 11:31:00,On Time
QF7,Qantas,Los Angeles,2024-04-18 11:57:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-18 13:29:00,On Time
QF1,Qantas,Singapore,2024-04-18 16:27:00,On Time
UA839,United Airlines,Los Angeles,2024-04-18 20:57:00,On Time
EK413,Emirates,Dubai,2024-04-18 21:11:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-19 07:35:00,On Time
5J32,Cebu Pacific,Manila,2024-04-19 07:56:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-19 08:02:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-19 08:41:00,On Time
MU502,China Eastern,Shanghai,2024-04-19 09:20:00,On Time
PR211,Philippine Airlines,Manila,2024-04-19 09:34:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-19 09:49:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-19 10:01:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-19 10:28:00,On Time
KE601,Korean Air,Seoul,2024-04-19 11:26:00,On Time
QF7,Qantas,Los Angeles,2024-04-19 11:54:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-19 15:40:00,On Time
QF1,Qantas,Singapore,2024-04-19 16:31:00,On Time
QR007,Qatar Airways,Doha,2024-04-19 20:50:00,On Time
EK413,Emirates,Dubai,2024-04-19 21:09:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-20 07:31:00,On Time
TR13,Scoot,Singapore,2024-04-20 07:46:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-20 08:03:00,On Time
TG476,Thai Airways,Bangkok,2024-04-20 09:02:00,On Time
MU502,China Eastern,Shanghai,2024-04-20 09:11:00,On Time
PR211,Philippine Airlines,Manila,2024-04-20 09:32:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-20 09:48:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-20 10:03:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-20 10:27:00,On Time
NH880,ANA,Tokyo,2024-04-20 11:20:00,On Time
KE601,Korean Air,Seoul,2024-04-20 11:27:00,On Time
QF7,Qantas,Los Angeles,2024-04-20 11:51:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-20 13:32:00,On Time
QF1,Qantas,Singapore,2024-04-20 16:34:00,On Time
UA839,United Airlines,Los Angeles,2024-04-20 21:05:00,On Time
EK413,Emirates,Dubai,2024-04-20 21:11:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-21 07:34:00,Delayed
SQ211,Singapore Airlines,Singapore,2024-04-21 08:01:00,On Time
5J32,Cebu Pacific,Manila,2024-04-21 08:02:00,Delayed
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-21 08:44:00,On Time
TG476,Thai Airways,Bangkok,2024-04-21 08:58:00,On Time
MU502,China Eastern,Shanghai,2024-04-21 09:15:00,On Time
PR211,Philippine Airlines,Manila,2024-04-21 09:33:00,Delayed
OZ602,Asiana Airlines,Seoul,2024-04-21 09:49:00,On Time
CA781,Air China,Beijing,2024-04-21 10:00:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-21 10:03:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-21 10:29:00,On Time
NH880,ANA,Tokyo,2024-04-21 11:10:00,Delayed
KE601,Korean Air,Seoul,2024-04-21 11:27:00,On Time
QF7,Qantas,Los Angeles,2024-04-21 11:53:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-21 13:25:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-21 15:46:00,On Time
QF1,Qantas,Singapore,2024-04-21 16:31:00,On Time
QR007,Qatar Airways,Doha,2024-04-21 20:41:00,On Time
UA839,United Airlines,Los Angeles,2024-04-21 21:05:00,On Time
EK413,Emirates,Dubai,2024-04-21 21:12:00,Cancelled
GA715,Garuda Indonesia,Bali,2024-04-22 07:25:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-22 08:00:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-22 08:41:00,On Time
TG476,Thai Airways,Bangkok,2024-04-22 08:57:00,On Time
MU502,China Eastern,Shanghai,2024-04-22 09:18:00,On Time
PR211,Philippine Airlines,Manila,2024-04-22 09:30:00,On Time
OZ602,Asiana Airlines,Seoul,2024-04-22 09:50:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-22 09:59:00,On Time
CX101,Cathay Pacific,Hong Kong,2024-04-22 10:28:00,On Time
KE601,Korean Air,Seoul,2024-04-22 11:29:00,On Time
QF7,Qantas,Los Angeles,2024-04-22 11:54:00,On Time
SQ213,Singapore Airlines,Singapore,2024-04-22 13:32:00,On Time
CX103,Cathay Pacific,Hong Kong,2024-04-22 15:44:00,On Time
QF1,Qantas,Singapore,2024-04-22 16:27:00,On Time
QR007,Qatar Airways,Doha,2024-04-22 20:40:00,On Time
EK413,Emirates,Dubai,2024-04-22 21:13:00,On Time
GA715,Garuda Indonesia,Bali,2024-04-23 07:25:00,On Time
TR13,Scoot,Singapore,2024-04-23 07:46:00,On Time
SQ211,Singapore Airlines,Singapore,2024-04-23 07:58:00,On Time
5J32,Cebu Pacific,Manila,2024-04-23 08:00:00,On Time
MH122,Malaysia Airlines,Kuala Lumpur,2024-04-23 08:50:00,On Time
MU502,China Eastern,Shanghai,2024-04-23 09:11:00,On Time
JL771,Japan Airlines,Tokyo,2024-04-23 09:57:00,On Time
CA781,Air China,Beijing,2024-04-23 10:04:00,Delayed
