flight_id,flight_no,airline,destination,departure_time,flight_status
FL-1356,EK413,Emirates,Dubai,2024-03-24 21:10:00,Delayed
FL-1357,GA715,Garuda Indonesia,Bali,2024-03-25 07:32:00,On Time
FL-1358,SQ211,Singapore Airlines,Singapore,2024-03-25 07:55:00,On Time
FL-1359,MH122,Malaysia Airlines,Kuala Lumpur,2024-03-25 08:40:00,On Time
FL-1360,TG476,Thai Airways,Bangkok,2024-03-25 09:01:00,On Time
FL-1361,MU502,China Eastern,Shanghai,2024-03-25 09:18:00,On Time
FL-1362,PR211,Philippine Airlines,Manila,2024-03-25 09:30:00,On Time
FL-1363,OZ602,Asiana Airlines,Seoul,2024-03-25 09:40:00,On Time
FL-1364,JL771,Japan Airlines,Tokyo,2024-03-25 10:00:00,On Time
FL-1365,CX101,Cathay Pacific,Hong Kong,2024-03-25 10:26:00,On Time
FL-1366,KE601,Korean Air,Seoul,2024-03-25 11:29:00,On Time
FL-1367,QF7,Qantas,Los Angeles,2024-03-25 11:50:00,On Time
FL-1368,SQ213,Singapore Airlines,Singapore,2024-03-25 13:32:00,On Time
FL-1369,CX103,Cathay Pacific,Hong Kong,2024-03-25 15:50:00,On Time
FL-1370,QF1,Qantas,Singapore,2024-03-25 16:26:00,On Time
FL-1371,QR007,Qatar Airways,Doha,2024-03-25 20:42:00,On Time
FL-1372,EK413,Emirates,Dubai,2024-03-25 21:15:00,On Time
FL-1373,GA715,Garuda Indonesia,Bali,2024-03-26 07:31:00,On Time
FL-1374,TR13,Scoot,Singapore,2024-03-26 07:50:00,On Time
FL-1375,5J32,Cebu Pacific,Manila,2024-03-26 08:00:00,On Time
FL-1376,SQ211,Singapore Airlines,Singapore,2024-03-26 08:01:00,Delayed
FL-1377,MH122,Malaysia Airlines,Kuala Lumpur,2024-03-26 08:44:00,On Time
FL-1378,MU502,China Eastern,Shanghai,2024-03-26 09:19:00,On Time
FL-1379,CA781,Air China,Beijing,2024-03-26 09:57:00,On Time
FL-1380,JL771,Japan Airlines,Tokyo,2024-03-26 10:00:00,On Time
FL-1381,CX101,Cathay Pacific,Hong Kong,2024-03-26 10:28:00,On Time
FL-1382,NH880,ANA,Tokyo,2024-03-26 11:18:00,On Time
FL-1383,KE601,Korean Air,Seoul,2024-03-26 11:27:00,Delayed
FL-1384,QF7,Qantas,Los Angeles,2024-03-26 11:51:00,On Time
FL-1385,QF1,Qantas,Singapore,2024-03-26 16:30:00,On Time
FL-1386,UA839,United Airlines,Los Angeles,2024-03-26 21:04:00,On Time
FL-1387,EK413,Emirates,Dubai,2024-03-26 21:06:00,On Time
FL-1388,GA715,Garuda Indonesia,Bali,2024-03-27 07:25:00,On Time
FL-1389,SQ211,Singapore Airlines,Singapore,2024-03-27 08:04:00,On Time
FL-1390,TG476,Thai Airways,Bangkok,2024-03-27 08:59:00,On Time
FL-1391,MU502,China Eastern,Shanghai,2024-03-27 09:17:00,Delayed
FL-1392,PR211,Philippine Airlines,Manila,2024-03-27 09:30:00,On Time
FL-1393,OZ602,Asiana Airlines,Seoul,2024-03-27 09:50:00,Delayed
FL-1394,JL771,Japan Airlines,Tokyo,2024-03-27 10:05:00,On Time
FL-1395,CX101,Cathay Pacific,Hong Kong,2024-03-27 10:25:00,On Time
FL-1396,KE601,Korean Air,Seoul,2024-03-27 11:34:00,On Time
FL-1397,QF7,Qantas,Los Angeles,2024-03-27 11:51:00,Delayed
FL-1398,SQ213,Singapore Airlines,Singapore,2024-03-27 13:35:00,On Time
FL-1399,CX103,Cathay Pacific,Hong Kong,2024-03-27 15:44:00,On Time
FL-1400,QF1,Qantas,Singapore,2024-03-27 16:27:00,On Time
FL-1401,QR007,Qatar Airways,Doha,2024-03-27 20:47:00,Delayed
FL-1402,EK413,Emirates,Dubai,2024-03-27 21:06:00,On Time
FL-1403,GA715,Garuda Indonesia,Bali,2024-03-28 07:35:00,On Time
FL-1404,TR13,Scoot,Singapore,2024-03-28 07:43:00,On Time
FL-1405,SQ211,Singapore Airlines,Singapore,2024-03-28 07:59:00,On Time
FL-1406,MH122,Malaysia Airlines,Kuala Lumpur,2024-03-28 08:48:00,On Time
FL-1407,TG476,Thai Airways,Bangkok,2024-03-28 08:57:00,On Time
FL-1408,MU502,China Eastern,Shanghai,2024-03-28 09:15:00,On Time
FL-1409,JL771,Japan Airlines,Tokyo,2024-03-28 10:02:00,On Time
FL-1410,CA781,Air China,Beijing,2024-03-28 10:04:00,On Time
FL-1411,CX101,Cathay Pacific,Hong Kong,2024-03-28 10:31:00,On Time
FL-1412,NH880,ANA,Tokyo,2024-03-28 11:17:00,On Time
FL-1413,KE601,Korean Air,Seoul,2024-03-28 11:34:00,On Time
FL-1414,QF7,Qantas,Los Angeles,2024-03-28 11:56:00,On Time
FL-1415,SQ213,Singapore Airlines,Singapore,2024-03-28 13:33:00,On Time
FL-1416,QF1,Qantas,Singapore,2024-03-28 16:31:00,On Time
FL-1417,UA839,United Airlines,Los Angeles,2024-03-28 20:59:00,On Time
FL-1418,EK413,Emirates,Dubai,2024-03-28 21:06:00,On Time
FL-1419,GA715,Garuda Indonesia,Bali,2024-03-29 07:33:00,On Time
FL-1420,SQ211,Singapore Airlines,Singapore,2024-03-29 07:57:00,On Time
FL-1421,5J32,Cebu Pacific,Manila,2024-03-29 07:57:00,Cancelled
FL-1422,MH122,Malaysia Airlines,Kuala Lumpur,2024-03-29 08:40:00,Cancelled
FL-1423,MU502,China Eastern,Shanghai,2024-03-29 09:12:00,On Time
FL-1424,PR211,Philippine Airlines,Manila,2024-03-29 09:31:00,On Time
FL-1425,OZ602,Asiana Airlines,Seoul,2024-03-29 09:47:00,Delayed
FL-1426,JL771,Japan Airlines,Tokyo,2024-03-29 10:03:00,On Time
FL-1427,CX101,Cathay Pacific,Hong Kong,2024-03-29 10:34:00,On Time
FL-1428,KE601,Korean Air,Seoul,2024-03-29 11:35:00,On Time
FL-1429,QF7,Qantas,Los Angeles,2024-03-29 11:58:00,On Time
FL-1430,CX103,Cathay Pacific,Hong Kong,2024-03-29 15:46:00,On Time
FL-1431,QF1,Qantas,Singapore,2024-03-29 16:34:00,On Time
FL-1432,QR007,Qatar Airways,Doha,2024-03-29 20:48:00,On Time
FL-1433,EK413,Emirates,Dubai,2024-03-29 21:15:00,Delayed
FL-1434,GA715,Garuda Indonesia,Bali,2024-03-30 07:31:00,On Time
FL-1435,TR13,Scoot,Singapore,2024-03-30 07:43:00,On Time
FL-1436,SQ211,Singapore Airlines,Singapore,2024-03-30 08:05:00,On Time
FL-1437,TG476,Thai Airways,Bangkok,2024-03-30 09:03:00,On Time
FL-1438,MU502,China Eastern,Shanghai,2024-03-30 09:15:00,Delayed
FL-1439,PR211,Philippine Airlines,Manila,2024-03-30 09:26:00,On Time
FL-1440,OZ602,Asiana Airlines,Seoul,2024-03-30 09:48:00,Delayed
FL-1441,JL771,Japan Airlines,Tokyo,2024-03-30 10:03:00,On Time
FL-1442,CX101,Cathay Pacific,Hong Kong,2024-03-30 10:28:00,On Time
FL-1443,NH880,ANA,Tokyo,2024-03-30 11:20:00,On Time
FL-1444,KE601,Korean Air,Seoul,2024-03-30 11:32:00,On Time
FL-1445,QF7,Qantas,Los Angeles,2024-03-30 11:59:00,On Time
FL-1446,SQ213,Singapore Airlines,Singapore,2024-03-30 13:27:00,On Time
FL-1447,QF1,Qantas,Singapore,2024-03-30 16:27:00,Delayed
FL-1448,UA839,United Airlines,Los Angeles,2024-03-30 21:05:00,On Time
FL-1449,EK413,Emirates,Dubai,2024-03-30 21:08:00,Delayed
FL-1450,GA715,Garuda Indonesia,Bali,2024-03-31 07:31:00,On Time
FL-1451,5J32,Cebu Pacific,Manila,2024-03-31 08:03:00,On Time
FL-1452,SQ211,Singapore Airlines,Singapore,2024-03-31 08:04:00,On Time
FL-1453,MH122,Malaysia Airlines,Kuala Lumpur,2024-03-31 08:43:00,On Time
FL-1454,TG476,Thai Airways,Bangkok,2024-03-31 08:57:00,On Time
FL-1455,MU502,China Eastern,Shanghai,2024-03-31 09:11:00,Delayed
FL-1456,PR211,Philippine Airlines,Manila,2024-03-31 09:31:00,On Time
FL-1457,OZ602,Asiana Airlines,Seoul,2024-03-31 09:50:00,Delayed
FL-1458,JL771,Japan Airlines,Tokyo,2024-03-31 10:02:00,On Time
FL-1459,CA781,Air China,Beijing,2024-03-31 10:03:00,On Time
FL-1460,CX101,Cathay Pacific,Hong Kong,2024-03-31 10:26:00,On Time
FL-1461,NH880,ANA,Tokyo,2024-03-31 11:19:00,On Time
FL-1462,KE601,Korean Air,Seoul,2024-03-31 11:25:00,On Time
FL-1463,QF7,Qantas,Los Angeles,2024-03-31 11:54:00,On Time
FL-1464,SQ213,Singapore Airlines,Singapore,2024-03-31 13:27:00,On Time
FL-1465,CX103,Cathay Pacific,Hong Kong,2024-03-31 15:41:00,On Time
FL-1466,QF1,Qantas,Singapore,2024-03-31 16:34:00,On Time
FL-1467,QR007,Qatar Airways,Doha,2024-03-31 20:47:00,On Time
FL-1468,UA839,United Airlines,Los Angeles,2024-03-31 21:00:00,On Time
FL-1469,EK413,Emirates,Dubai,2024-03-31 21:15:00,On Time
FL-1470,GA715,Garuda Indonesia,Bali,2024-04-01 07:34:00,On Time
FL-1471,SQ211,Singapore Airlines,Singapore,2024-04-01 08:05:00,On Time
FL-1472,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-01 08:49:00,On Time
FL-1473,TG476,Thai Airways,Bangkok,2024-04-01 09:01:00,On Time
FL-1474,MU502,China Eastern,Shanghai,2024-04-01 09:15:00,On Time
FL-1475,PR211,Philippine Airlines,Manila,2024-04-01 09:35:00,On Time
FL-1476,OZ602,Asiana Airlines,Seoul,2024-04-01 09:47:00,On Time
FL-1477,JL771,Japan Airlines,Tokyo,2024-04-01 09:57:00,Delayed
FL-1478,CX101,Cathay Pacific,Hong Kong,2024-04-01 10:25:00,On Time
FL-1479,KE601,Korean Air,Seoul,2024-04-01 11:33:00,On Time
FL-1480,QF7,Qantas,Los Angeles,2024-04-01 12:00:00,On Time
FL-1481,SQ213,Singapore Airlines,Singapore,2024-04-01 13:31:00,On Time
FL-1482,CX103,Cathay Pacific,Hong Kong,2024-04-01 15:43:00,Delayed
FL-1483,QF1,Qantas,Singapore,2024-04-01 16:30:00,Delayed
FL-1484,QR007,Qatar Airways,Doha,2024-04-01 20:43:00,On Time
FL-1485,EK413,Emirates,Dubai,2024-04-01 21:13:00,On Time
FL-1486,GA715,Garuda Indonesia,Bali,2024-04-02 07:26:00,On Time
FL-1487,TR13,Scoot,Singapore,2024-04-02 07:42:00,On Time
FL-1488,5J32,Cebu Pacific,Manila,2024-04-02 07:57:00,On Time
FL-1489,SQ211,Singapore Airlines,Singapore,2024-04-02 08:00:00,On Time
FL-1490,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-02 08:48:00,On Time
FL-1491,MU502,China Eastern,Shanghai,2024-04-02 09:19:00,On Time
FL-1492,CA781,Air China,Beijing,2024-04-02 09:55:00,Cancelled
FL-1493,JL771,Japan Airlines,Tokyo,2024-04-02 10:04:00,On Time
FL-1494,CX101,Cathay Pacific,Hong Kong,2024-04-02 10:31:00,On Time
FL-1495,NH880,ANA,Tokyo,2024-04-02 11:16:00,On Time
FL-1496,KE601,Korean Air,Seoul,2024-04-02 11:35:00,Delayed
FL-1497,QF7,Qantas,Los Angeles,2024-04-02 11:58:00,Delayed
FL-1498,QF1,Qantas,Singapore,2024-04-02 16:29:00,Delayed
FL-1499,UA839,United Airlines,Los Angeles,2024-04-02 20:56:00,On Time
FL-1500,EK413,Emirates,Dubai,2024-04-02 21:06:00,On Time
FL-1501,GA715,Garuda Indonesia,Bali,2024-04-03 07:25:00,Cancelled
FL-1502,SQ211,Singapore Airlines,Singapore,2024-04-03 07:57:00,On Time
FL-1503,TG476,Thai Airways,Bangkok,2024-04-03 09:00:00,On Time
FL-1504,MU502,China Eastern,Shanghai,2024-04-03 09:14:00,On Time
FL-1505,PR211,Philippine Airlines,Manila,2024-04-03 09:33:00,Delayed
FL-1506,OZ602,Asiana Airlines,Seoul,2024-04-03 09:44:00,On Time
FL-1507,JL771,Japan Airlines,Tokyo,2024-04-03 09:55:00,On Time
FL-1508,CX101,Cathay Pacific,Hong Kong,2024-04-03 10:27:00,On Time
FL-1509,KE601,Korean Air,Seoul,2024-04-03 11:32:00,On Time
FL-1510,QF7,Qantas,Los Angeles,2024-04-03 11:50:00,On Time
FL-1511,SQ213,Singapore Airlines,Singapore,2024-04-03 13:33:00,Delayed
FL-1512,CX103,Cathay Pacific,Hong Kong,2024-04-03 15:45:00,On Time
FL-1513,QF1,Qantas,Singapore,2024-04-03 16:32:00,On Time
FL-1514,QR007,Qatar Airways,Doha,2024-04-03 20:48:00,On Time
FL-1515,EK413,Emirates,Dubai,2024-04-03 21:05:00,On Time
FL-1516,GA715,Garuda Indonesia,Bali,2024-04-04 07:34:00,On Time
FL-1517,TR13,Scoot,Singapore,2024-04-04 07:45:00,Delayed
FL-1518,SQ211,Singapore Airlines,Singapore,2024-04-04 08:04:00,On Time
FL-1519,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-04 08:46:00,On Time
FL-1520,TG476,Thai Airways,Bangkok,2024-04-04 09:03:00,On Time
FL-1521,MU502,China Eastern,Shanghai,2024-04-04 09:17:00,On Time
FL-1522,CA781,Air China,Beijing,2024-04-04 09:58:00,Delayed
FL-1523,JL771,Japan Airlines,Tokyo,2024-04-04 10:00:00,On Time
FL-1524,CX101,Cathay Pacific,Hong Kong,2024-04-04 10:25:00,On Time
FL-1525,NH880,ANA,Tokyo,2024-04-04 11:20:00,On Time
FL-1526,KE601,Korean Air,Seoul,2024-04-04 11:35:00,On Time
FL-1527,QF7,Qantas,Los Angeles,2024-04-04 11:52:00,On Time
FL-1528,SQ213,Singapore Airlines,Singapore,2024-04-04 13:30:00,Cancelled
FL-1529,QF1,Qantas,Singapore,2024-04-04 16:25:00,On Time
FL-1530,UA839,United Airlines,Los Angeles,2024-04-04 21:01:00,Delayed
FL-1531,EK413,Emirates,Dubai,2024-04-04 21:15:00,On Time
FL-1532,GA715,Garuda Indonesia,Bali,2024-04-05 07:25:00,On Time
FL-1533,SQ211,Singapore Airlines,Singapore,2024-04-05 07:55:00,On Time
FL-1534,5J32,Cebu Pacific,Manila,2024-04-05 07:57:00,On Time
FL-1535,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-05 08:44:00,On Time
FL-1536,MU502,China Eastern,Shanghai,2024-04-05 09:20:00,On Time
FL-1537,PR211,Philippine Airlines,Manila,2024-04-05 09:35:00,On Time
FL-1538,OZ602,Asiana Airlines,Seoul,2024-04-05 09:40:00,On Time
FL-1539,JL771,Japan Airlines,Tokyo,2024-04-05 10:00:00,On Time
FL-1540,CX101,Cathay Pacific,Hong Kong,2024-04-05 10:29:00,On Time
FL-1541,KE601,Korean Air,Seoul,2024-04-05 11:32:00,On Time
FL-1542,QF7,Qantas,Los Angeles,2024-04-05 11:58:00,On Time
FL-1543,CX103,Cathay Pacific,Hong Kong,2024-04-05 15:44:00,On Time
FL-1544,QF1,Qantas,Singapore,2024-04-05 16:30:00,On Time
FL-1545,QR007,Qatar Airways,Doha,2024-04-05 20:42:00,On Time
FL-1546,EK413,Emirates,Dubai,2024-04-05 21:12:00,On Time
FL-1547,GA715,Garuda Indonesia,Bali,2024-04-06 07:26:00,On Time
FL-1548,TR13,Scoot,Singapore,2024-04-06 07:46:00,On Time
FL-1549,SQ211,Singapore Airlines,Singapore,2024-04-06 08:04:00,On Time
FL-1550,TG476,Thai Airways,Bangkok,2024-04-06 09:05:00,On Time
FL-1551,MU502,China Eastern,Shanghai,2024-04-06 09:13:00,Delayed
FL-1552,PR211,Philippine Airlines,Manila,2024-04-06 09:35:00,On Time
FL-1553,OZ602,Asiana Airlines,Seoul,2024-04-06 09:48:00,On Time
FL-1554,JL771,Japan Airlines,Tokyo,2024-04-06 10:02:00,On Time
FL-1555,CX101,Cathay Pacific,Hong Kong,2024-04-06 10:29:00,On Time
FL-1556,NH880,ANA,Tokyo,2024-04-06 11:18:00,On Time
FL-1557,KE601,Korean Air,Seoul,2024-04-06 11:25:00,Delayed
FL-1558,QF7,Qantas,Los Angeles,2024-04-06 11:52:00,On Time
FL-1559,SQ213,Singapore Airlines,Singapore,2024-04-06 13:35:00,On Time
FL-1560,QF1,Qantas,Singapore,2024-04-06 16:29:00,Delayed
FL-1561,UA839,United Airlines,Los Angeles,2024-04-06 20:55:00,On Time
FL-1562,EK413,Emirates,Dubai,2024-04-06 21:07:00,On Time
FL-1563,GA715,Garuda Indonesia,Bali,2024-04-07 07:29:00,Cancelled
FL-1564,SQ211,Singapore Airlines,Singapore,2024-04-07 08:00:00,On Time
FL-1565,5J32,Cebu Pacific,Manila,2024-04-07 08:01:00,Delayed
FL-1566,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-07 08:45:00,On Time
FL-1567,TG476,Thai Airways,Bangkok,2024-04-07 09:01:00,On Time
FL-1568,MU502,China Eastern,Shanghai,2024-04-07 09:13:00,Cancelled
FL-1569,PR211,Philippine Airlines,Manila,2024-04-07 09:33:00,On Time
FL-1570,OZ602,Asiana Airlines,Seoul,2024-04-07 09:48:00,On Time
FL-1571,JL771,Japan Airlines,Tokyo,2024-04-07 10:01:00,On Time
FL-1572,CA781,Air China,Beijing,2024-04-07 10:01:00,Cancelled
FL-1573,CX101,Cathay Pacific,Hong Kong,2024-04-07 10:34:00,On Time
FL-1574,NH880,ANA,Tokyo,2024-04-07 11:17:00,On Time
FL-1575,KE601,Korean Air,Seoul,2024-04-07 11:35:00,On Time
FL-1576,QF7,Qantas,Los Angeles,2024-04-07 11:58:00,On Time
FL-1577,SQ213,Singapore Airlines,Singapore,2024-04-07 13:30:00,On Time
FL-1578,CX103,Cathay Pacific,Hong Kong,2024-04-07 15:45:00,On Time
FL-1579,QF1,Qantas,Singapore,2024-04-07 16:33:00,On Time
FL-1580,QR007,Qatar Airways,Doha,2024-04-07 20:44:00,Delayed
FL-1581,UA839,United Airlines,Los Angeles,2024-04-07 20:58:00,On Time
FL-1582,EK413,Emirates,Dubai,2024-04-07 21:07:00,On Time
FL-1583,GA715,Garuda Indonesia,Bali,2024-04-08 07:30:00,On Time
FL-1584,SQ211,Singapore Airlines,Singapore,2024-04-08 07:59:00,On Time
FL-1585,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-08 08:41:00,On Time
FL-1586,TG476,Thai Airways,Bangkok,2024-04-08 08:59:00,On Time
FL-1587,MU502,China Eastern,Shanghai,2024-04-08 09:20:00,On Time
FL-1588,PR211,Philippine Airlines,Manila,2024-04-08 09:32:00,On Time
FL-1589,OZ602,Asiana Airlines,Seoul,2024-04-08 09:47:00,On Time
FL-1590,JL771,Japan Airlines,Tokyo,2024-04-08 10:00:00,On Time
FL-1591,CX101,Cathay Pacific,Hong Kong,2024-04-08 10:25:00,On Time
FL-1592,KE601,Korean Air,Seoul,2024-04-08 11:28:00,On Time
FL-1593,QF7,Qantas,Los Angeles,2024-04-08 11:55:00,On Time
FL-1594,SQ213,Singapore Airlines,Singapore,2024-04-08 13:33:00,On Time
FL-1595,CX103,Cathay Pacific,Hong Kong,2024-04-08 15:45:00,On Time
FL-1596,QF1,Qantas,Singapore,2024-04-08 16:31:00,On Time
FL-1597,QR007,Qatar Airways,Doha,2024-04-08 20:46:00,On Time
FL-1598,EK413,Emirates,Dubai,2024-04-08 21:08:00,On Time
FL-1599,GA715,Garuda Indonesia,Bali,2024-04-09 07:35:00,On Time
FL-1600,TR13,Scoot,Singapore,2024-04-09 07:49:00,On Time
FL-1601,5J32,Cebu Pacific,Manila,2024-04-09 07:56:00,On Time
FL-1602,SQ211,Singapore Airlines,Singapore,2024-04-09 07:59:00,On Time
FL-1603,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-09 08:43:00,Delayed
FL-1604,MU502,China Eastern,Shanghai,2024-04-09 09:19:00,On Time
FL-1605,CA781,Air China,Beijing,2024-04-09 09:56:00,On Time
FL-1606,JL771,Japan Airlines,Tokyo,2024-04-09 10:00:00,On Time
FL-1607,CX101,Cathay Pacific,Hong Kong,2024-04-09 10:26:00,On Time
FL-1608,NH880,ANA,Tokyo,2024-04-09 11:15:00,On Time
FL-1609,KE601,Korean Air,Seoul,2024-04-09 11:35:00,On Time
FL-1610,QF7,Qantas,Los Angeles,2024-04-09 11:57:00,On Time
FL-1611,QF1,Qantas,Singapore,2024-04-09 16:26:00,On Time
FL-1612,UA839,United Airlines,Los Angeles,2024-04-09 20:56:00,On Time
FL-1613,EK413,Emirates,Dubai,2024-04-09 21:14:00,On Time
FL-1614,GA715,Garuda Indonesia,Bali,2024-04-10 07:29:00,On Time
FL-1615,SQ211,Singapore Airlines,Singapore,2024-04-10 08:03:00,On Time
FL-1616,TG476,Thai Airways,Bangkok,2024-04-10 09:01:00,On Time
FL-1617,MU502,China Eastern,Shanghai,2024-04-10 09:17:00,On Time
FL-1618,PR211,Philippine Airlines,Manila,2024-04-10 09:29:00,On Time
FL-1619,OZ602,Asiana Airlines,Seoul,2024-04-10 09:44:00,On Time
FL-1620,JL771,Japan Airlines,Tokyo,2024-04-10 09:55:00,Delayed
FL-1621,CX101,Cathay Pacific,Hong Kong,2024-04-10 10:26:00,On Time
FL-1622,KE601,Korean Air,Seoul,2024-04-10 11:28:00,On Time
FL-1623,QF7,Qantas,Los Angeles,2024-04-10 11:58:00,On Time
FL-1624,SQ213,Singapore Airlines,Singapore,2024-04-10 13:27:00,On Time
FL-1625,CX103,Cathay Pacific,Hong Kong,2024-04-10 15:46:00,On Time
FL-1626,QF1,Qantas,Singapore,2024-04-10 16:34:00,On Time
FL-1627,QR007,Qatar Airways,Doha,2024-04-10 20:47:00,On Time
FL-1628,EK413,Emirates,Dubai,2024-04-10 21:15:00,On Time
FL-1629,GA715,Garuda Indonesia,Bali,2024-04-11 07:32:00,On Time
FL-1630,TR13,Scoot,Singapore,2024-04-11 07:49:00,On Time
FL-1631,SQ211,Singapore Airlines,Singapore,2024-04-11 07:55:00,On Time
FL-1632,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-11 08:45:00,On Time
FL-1633,TG476,Thai Airways,Bangkok,2024-04-11 08:56:00,Delayed
FL-1634,MU502,China Eastern,Shanghai,2024-04-11 09:16:00,On Time
FL-1635,JL771,Japan Airlines,Tokyo,2024-04-11 10:02:00,On Time
FL-1636,CA781,Air China,Beijing,2024-04-11 10:05:00,On Time
FL-1637,CX101,Cathay Pacific,Hong Kong,2024-04-11 10:28:00,On Time
FL-1638,NH880,ANA,Tokyo,2024-04-11 11:15:00,On Time
FL-1639,KE601,Korean Air,Seoul,2024-04-11 11:33:00,On Time
FL-1640,QF7,Qantas,Los Angeles,2024-04-11 11:53:00,On Time
FL-1641,SQ213,Singapore Airlines,Singapore,2024-04-11 13:28:00,On Time
FL-1642,QF1,Qantas,Singapore,2024-04-11 16:25:00,On Time
FL-1643,UA839,United Airlines,Los Angeles,2024-04-11 20:57:00,Cancelled
FL-1644,EK413,Emirates,Dubai,2024-04-11 21:05:00,Delayed
FL-1645,GA715,Garuda Indonesia,Bali,2024-04-12 07:28:00,On Time
FL-1646,5J32,Cebu Pacific,Manila,2024-04-12 07:56:00,On Time
FL-1647,SQ211,Singapore Airlines,Singapore,2024-04-12 08:02:00,On Time
FL-1648,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-12 08:46:00,On Time
FL-1649,MU502,China Eastern,Shanghai,2024-04-12 09:12:00,Delayed
FL-1650,PR211,Philippine Airlines,Manila,2024-04-12 09:30:00,On Time
FL-1651,OZ602,Asiana Airlines,Seoul,2024-04-12 09:44:00,Delayed
FL-1652,JL771,Japan Airlines,Tokyo,2024-04-12 10:04:00,On Time
FL-1653,CX101,Cathay Pacific,Hong Kong,2024-04-12 10:25:00,On Time
FL-1654,KE601,Korean Air,Seoul,2024-04-12 11:33:00,On Time
FL-1655,QF7,Qantas,Los Angeles,2024-04-12 11:53:00,On Time
FL-1656,CX103,Cathay Pacific,Hong Kong,2024-04-12 15:47:00,On Time
FL-1657,QF1,Qantas,Singapore,2024-04-12 16:33:00,On Time
FL-1658,QR007,Qatar Airways,Doha,2024-04-12 20:48:00,On Time
FL-1659,EK413,Emirates,Dubai,2024-04-12 21:08:00,On Time
FL-1660,GA715,Garuda Indonesia,Bali,2024-04-13 07:28:00,On Time
FL-1661,TR13,Scoot,Singapore,2024-04-13 07:41:00,Delayed
FL-1662,SQ211,Singapore Airlines,Singapore,2024-04-13 07:57:00,On Time
FL-1663,TG476,Thai Airways,Bangkok,2024-04-13 09:02:00,On Time
FL-1664,MU502,China Eastern,Shanghai,2024-04-13 09:13:00,On Time
FL-1665,PR211,Philippine Airlines,Manila,2024-04-13 09:31:00,Cancelled
FL-1666,OZ602,Asiana Airlines,Seoul,2024-04-13 09:42:00,On Time
FL-1667,JL771,Japan Airlines,Tokyo,2024-04-13 10:00:00,On Time
FL-1668,CX101,Cathay Pacific,Hong Kong,2024-04-13 10:29:00,On Time
FL-1669,NH880,ANA,Tokyo,2024-04-13 11:10:00,Delayed
FL-1670,KE601,Korean Air,Seoul,2024-04-13 11:29:00,On Time
FL-1671,QF7,Qantas,Los Angeles,2024-04-13 11:53:00,On Time
FL-1672,SQ213,Singapore Airlines,Singapore,2024-04-13 13:30:00,On Time
FL-1673,QF1,Qantas,Singapore,2024-04-13 16:29:00,On Time
FL-1674,UA839,United Airlines,Los Angeles,2024-04-13 20:55:00,On Time
FL-1675,EK413,Emirates,Dubai,2024-04-13 21:13:00,On Time
FL-1676,GA715,Garuda Indonesia,Bali,2024-04-14 07:26:00,On Time
FL-1677,SQ211,Singapore Airlines,Singapore,2024-04-14 07:58:00,On Time
FL-1678,5J32,Cebu Pacific,Manila,2024-04-14 08:01:00,Delayed
FL-1679,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-14 08:43:00,On Time
FL-1680,TG476,Thai Airways,Bangkok,2024-04-14 09:00:00,On Time
FL-1681,MU502,China Eastern,Shanghai,2024-04-14 09:10:00,On Time
FL-1682,PR211,Philippine Airlines,Manila,2024-04-14 09:35:00,Cancelled
FL-1683,OZ602,Asiana Airlines,Seoul,2024-04-14 09:50:00,Delayed
FL-1684,CA781,Air China,Beijing,2024-04-14 09:56:00,On Time
FL-1685,JL771,Japan Airlines,Tokyo,2024-04-14 10:01:00,On Time
FL-1686,CX101,Cathay Pacific,Hong Kong,2024-04-14 10:26:00,On Time
FL-1687,NH880,ANA,Tokyo,2024-04-14 11:14:00,On Time
FL-1688,KE601,Korean Air,Seoul,2024-04-14 11:31:00,On Time
FL-1689,QF7,Qantas,Los Angeles,2024-04-14 11:52:00,On Time
FL-1690,SQ213,Singapore Airlines,Singapore,2024-04-14 13:31:00,On Time
FL-1691,CX103,Cathay Pacific,Hong Kong,2024-04-14 15:50:00,Delayed
FL-1692,QF1,Qantas,Singapore,2024-04-14 16:35:00,On Time
FL-1693,QR007,Qatar Airways,Doha,2024-04-14 20:47:00,On Time
FL-1694,UA839,United Airlines,Los Angeles,2024-04-14 20:56:00,On Time
FL-1695,EK413,Emirates,Dubai,2024-04-14 21:13:00,On Time
FL-1696,GA715,Garuda Indonesia,Bali,2024-04-15 07:28:00,On Time
FL-1697,SQ211,Singapore Airlines,Singapore,2024-04-15 08:00:00,On Time
FL-1698,MH122,Malaysia Airlines,Kuala Lumpur,2024-04-15 08:40:00,On Time
FL-1699,TG476,Thai Airways,Bangkok,2024-04-15 08:57:00,On Time
FL-1700,MU502,China Eastern,Shanghai,2024-04-15 09:13:00,Delayed
FL-1701,PR211,Philippine Airlines,Manila,2024-04-15 09:30:00,On Time
