customer_id,nationality,age_group
C-01304,,
C-01305,,
C-01306,US,20s
C-01307,JP,30s
C-01308,KR,Under 20
C-01309,,
C-01310,AU,60+
C-01311,,
C-01312,,
C-01313,CA,40s
C-01314,,
C-01315,CN,30s
C-01316,IN,60+
C-01317,US,30s
C-01318,PH,20s
C-01319,CN,50s
C-01320,NZ,Under 20
C-01321,AU,50s
C-01322,GB,30s
C-01323,TH,60+
C-01324,US,60+
C-01325,CN,20s
C-01326,AU,20s
C-01327,,
C-01328,US,20s
C-01329,US,30s
C-01330,GB,30s
C-01331,NZ,50s
C-01332,TH,40s
C-01333,CN,Under 20
C-01334,IN,60+
C-01335,CN,50s
C-01336,AU,30s
C-01337,NZ,Under 20
C-01338,GB,50s
C-01339,CN,20s
C-01340,AU,60+
C-01341,AU,60+
C-01342,CN,20s
C-01343,US,60+
C-01344,NZ,60+
C-01345,CA,Under 20
C-01346,,
C-01347,,
C-01348,GB,50s
C-01349,GB,Under 20
C-01350,GB,60+
C-01351,,
C-01352,PH,50s
C-01353,CN,60+
C-01354,CN,60+
C-01355,AU,50s
C-01356,KR,20s
C-01357,AU,60+
C-01358,SG,60+
C-01359,US,40s
C-01360,,
C-01361,NZ,50s
C-01362,AU,Under 20
C-01363,CN,60+
C-01364,AU,50s
C-01365,US,60+
C-01366,JP,Under 20
C-01367,CA,20s
C-01368,,
C-01369,TH,Under 20
C-01370,IN,20s
C-01371,IN,Under 20
C-01372,US,20s
C-01373,KR,30s
C-01374,AU,50s
C-01375,IN,20s
C-01376,KR,40s
C-01377,IN,30s
C-01378,IN,Under 20
C-01379,US,40s
C-01380,AU,40s
C-01381,PH,20s
C-01382,GB,20s
C-01383,CN,50s
C-01384,KR,30s
C-01385,,
C-01386,NZ,60+
C-01387,SG,20s
C-01388,CN,40s
C-01389,GB,60+
C-01390,GB,60+
C-01391,KR,Under 20
C-01392,TH,30s
C-01393,GB,60+
C-01394,CA,50s
C-01395,AU,30s
C-01396,CN,30s
C-01397,AU,30s
C-01398,US,40s
C-01399,NZ,50s
C-01400,NZ,Under 20
C-01401,CN,50s
C-01402,IN,Under 20
C-01403,SG,60+
C-01404,CN,40s
C-01405,,
C-01406,NZ,40s
C-01407,CN,Under 20
C-01408,CN,30s
C-01409,NZ,Under 20
C-01410,US,60+
C-01411,,
C-01412,GB,Under 20
C-01413,,
C-01414,JP,Under 20
C-01415,CN,30s
C-01416,KR,50s
C-01417,GB,40s
C-01418,US,Under 20
C-01419,KR,20s
C-01420,AU,Under 20
C-01421,CN,60+
C-01422,,
C-01423,NZ,60+
C-01424,,
C-01425,GB,Under 20
C-01426,KR,30s
C-01427,CN,20s
C-01428,US,20s
C-01429,KR,Under 20
C-01430,CA,Under 20
C-01431,US,20s
C-01432,,
C-01433,CN,20s
C-01434,KR,40s
C-01435,IN,50s
C-01436,CN,60+
C-01437,TH,60+
C-01438,US,60+
C-01439,,
C-01440,CN,40s
C-01441,TH,30s
C-01442,KR,40s
C-01443,IN,50s
C-01444,JP,30s
C-01445,CN,30s
C-01446,NZ,Under 20
C-01447,KR,50s
C-01448,KR,40s
C-01449,PH,20s
C-01450,PH,50s
C-01451,CN,60+
C-01452,KR,30s
C-01453,SG,60+
C-01454,US,40s
C-01455,TH,30s
C-01456,CN,Under 20
C-01457,JP,40s
C-01458,US,50s
C-01459,CN,20s
C-01460,KR,50s
C-01461,KR,60+
C-01462,CN,60+
C-01463,KR,30s
C-01464,AU,Under 20
C-01465,JP,30s
C-01466,NZ,60+
C-01467,,
C-01468,CN,40s
C-01469,JP,Under 20
C-01470,CN,50s
C-01471,GB,60+
C-01472,CN,60+
C-01473,CN,50s
C-01474,KR,30s
C-01475,TH,Under 20
C-01476,SG,Under 20
C-01477,NZ,30s
C-01478,,
C-01479,,
C-01480,IN,Under 20
C-01481,NZ,60+
C-01482,GB,30s
C-01483,CN,Under 20
C-01484,US,30s
C-01485,IN,60+
C-01486,CN,40s
C-01487,PH,30s
C-01488,JP,60+
C-01489,AU,20s
C-01490,GB,30s
C-01491,CN,30s
C-01492,US,30s
C-01493,US,60+
C-01494,CN,60+
C-01495,IN,50s
C-01496,CN,20s
C-01497,KR,30s
C-01498,SG,30s
C-01499,US,Under 20
C-01500,JP,60+
C-01501,,
C-01502,AU,40s
C-01503,SG,30s
C-01504,CN,60+
C-01505,US,Under 20
C-01506,US,40s
C-01507,PH,40s
C-01508,CN,30s
C-01509,TH,20s
C-01510,KR,40s
C-01511,US,60+
C-01512,IN,40s
C-01513,AU,40s
C-01514,,
C-01515,AU,60+
C-01516,CN,50s
C-01517,AU,50s
C-01518,KR,40s
C-01519,JP,20s
C-01520,KR,Under 20
C-01521,US,Under 20
C-01522,AU,30s
C-01523,JP,50s
C-01524,JP,60+
C-01525,US,20s
C-01526,AU,20s
C-01527,CN,20s
C-01528,GB,50s
C-01529,AU,50s
C-01530,SG,60+
C-01531,CN,20s
C-01532,JP,40s
C-01533,AU,60+
C-01534,CN,60+
C-01535,CN,20s
C-01536,JP,40s
C-01537,CN,50s
C-01538,,
C-01539,CN,Under 20
C-01540,KR,20s
C-01541,GB,60+
C-01542,CN,40s
C-01543,NZ,Under 20
C-01544,IN,20s
C-01545,GB,40s
C-01546,,
C-01547,NZ,40s
C-01548,GB,60+
C-01549,KR,40s
C-01550,SG,Under 20
C-01551,CN,20s
C-01552,PH,20s
C-01553,AU,Under 20
C-01554,US,50s
C-01555,AU,50s
C-01556,GB,Under 20
C-01557,US,60+
C-01558,JP,Under 20
C-01559,NZ,50s
C-01560,US,Under 20
C-01561,CN,50s
C-01562,PH,Under 20
C-01563,CN,30s
C-01564,AU,20s
C-01565,,
C-01566,NZ,50s
C-01567,US,50s
C-01568,,
C-01569,SG,60+
C-01570,AU,50s
C-01571,NZ,40s
C-01572,,
C-01573,AU,Under 20
C-01574,IN,20s
C-01575,IN,40s
C-01576,CN,Under 20
C-01577,IN,20s
C-01578,GB,Under 20
C-01579,,
C-01580,PH,60+
C-01581,CN,Under 20
C-01582,CN,20s
C-01583,NZ,Under 20
C-01584,CN,Under 20
C-01585,,
C-01586,GB,30s
C-01587,CN,50s
C-01588,IN,Under 20
C-01589,KR,50s
C-01590,,
C-01591,US,40s
C-01592,CN,50s
C-01593,IN,60+
C-01594,US,20s
C-01595,KR,40s
C-01596,KR,30s
C-01597,US,20s
C-01598,,
C-01599,,
C-01600,,
C-01601,IN,Under 20
C-01602,CA,40s
C-01603,,
C-01604,GB,Under 20
C-01605,KR,50s
C-01606,CN,40s
C-01607,,
C-01608,JP,50s
C-01609,KR,60+
C-01610,CN,30s
C-01611,US,50s
C-01612,NZ,Under 20
C-01613,US,40s
C-01614,,
C-01615,IN,Under 20
C-01616,KR,50s
C-01617,CN,40s
C-01618,NZ,Under 20
C-01619,US,40s
C-01620,US,20s
C-01621,NZ,40s
C-01622,AU,50s
C-01623,GB,60+
C-01624,TH,20s
C-01625,CN,60+
C-01626,JP,30s
C-01627,TH,30s
C-01628,NZ,40s
C-01629,US,60+
C-01630,CN,60+
C-01631,,
C-01632,US,Under 20
C-01633,CN,60+
C-01634,,
C-01635,GB,Under 20
C-01636,TH,60+
C-01637,CA,40s
C-01638,AU,30s
C-01639,NZ,50s
C-01640,GB,40s
C-01641,CN,50s
C-01642,TH,Under 20
C-01643,,
C-01644,US,50s
C-01645,CN,60+
C-01646,PH,30s
C-01647,CN,20s
C-01648,IN,50s
C-01649,,
C-01650,US,Under 20
C-01651,KR,30s
C-01652,,
C-01653,AU,60+
C-01654,CN,Under 20
C-01655,,
C-01656,CN,20s
C-01657,CN,20s
C-01658,,
C-01659,US,50s
C-01660,SG,60+
C-01661,,
C-01662,NZ,40s
C-01663,IN,60+
C-01664,CN,50s
C-01665,CN,50s
C-01666,KR,30s
C-01667,PH,Under 20
C-01668,AU,50s
C-01669,JP,40s
C-01670,IN,50s
C-01671,KR,Under 20
C-01672,US,60+
C-01673,PH,60+
C-01674,PH,Under 20
C-01675,CN,Under 20
C-01676,US,30s
C-01677,US,20s
C-01678,IN,Under 20
C-01679,CN,40s
C-01680,CA,50s
C-01681,,
C-01682,CA,50s
C-01683,IN,60+
C-01684,GB,40s
C-01685,SG,60+
C-01686,,
C-01687,KR,Under 20
C-01688,US,40s
C-01689,JP,60+
C-01690,NZ,60+
C-01691,SG,20s
C-01692,,
C-01693,GB,30s
C-01694,IN,Under 20
C-01695,KR,Under 20
C-01696,KR,50s
C-01697,CN,50s
C-01698,GB,30s
C-01699,CA,20s
C-01700,CA,50s
C-01701,CN,40s
C-01702,TH,20s
C-01703,CN,30s
C-01704,CA,Under 20
C-01705,CN,50s
C-01706,CN,50s
C-01707,AU,60+
C-01708,CA,30s
C-01709,PH,20s
C-01710,AU,60+
C-01711,IN,40s
C-01712,CN,50s
C-01713,GB,30s
C-01714,AU,20s
C-01715,GB,30s
C-01716,CN,20s
C-01717,KR,Under 20
C-01718,JP,50s
C-01719,KR,30s
C-01720,KR,60+
C-01721,IN,30s
C-01722,JP,50s
C-01723,KR,60+
C-01724,,
C-01725,KR,20s
C-01726,US,60+
C-01727,CN,60+
C-01728,SG,40s
C-01729,AU,20s
C-01730,KR,20s
C-01731,US,40s
C-01732,CN,60+
C-01733,CN,Under 20
C-01734,CN,20s
C-01735,KR,60+
C-01736,CN,60+
C-01737,PH,60+
C-01738,JP,40s
C-01739,CN,60+
C-01740,CN,Under 20
C-01741,,
C-01742,KR,30s
C-01743,CN,50s
C-01744,CN,60+
C-01745,AU,60+
C-01746,JP,30s
C-01747,,
C-01748,US,30s
C-01749,SG,Under 20
C-01750,GB,60+
C-01751,,
C-01752,TH,Under 20
C-01753,GB,Under 20
C-01754,NZ,50s
C-01755,IN,20s
C-01756,CN,60+
C-01757,PH,Under 20
C-01758,KR,50s
C-01759,CN,Under 20
C-01760,JP,Under 20
C-01761,,
C-01762,NZ,50s
C-01763,IN,50s
C-01764,AU,20s
C-01765,NZ,40s
C-01766,KR,40s
C-01767,JP,50s
C-01768,CN,40s
C-01769,,
C-01770,PH,60+
C-01771,JP,20s
C-01772,AU,50s
C-01773,JP,30s
C-01774,,
C-01775,PH,30s
C-01776,,
C-01777,CN,60+
C-01778,US,20s
C-01779,KR,50s
C-01780,SG,30s
C-01781,NZ,60+
C-01782,US,50s
C-01783,AU,40s
C-01784,NZ,30s
C-01785,CN,50s
C-01786,SG,20s
C-01787,NZ,40s
C-01788,NZ,Under 20
C-01789,NZ,50s
C-01790,SG,50s
C-01791,KR,40s
C-01792,PH,20s
C-01793,JP,50s
C-01794,US,30s
C-01795,KR,40s
C-01796,AU,40s
C-01797,,
C-01798,CN,Under 20
C-01799,JP,30s
C-01800,GB,40s
C-01801,CN,30s
C-01802,KR,40s
C-01803,GB,40s
C-01804,GB,50s
C-01805,US,40s
C-01806,US,60+
C-01807,,
C-01808,PH,50s
C-01809,,
C-01810,KR,Under 20
C-01811,,
C-01812,CN,50s
C-01813,SG,60+
C-01814,US,30s
C-01815,JP,40s
C-01816,NZ,60+
C-01817,GB,50s
C-01818,AU,Under 20
C-01819,KR,30s
C-01820,IN,20s
C-01821,IN,30s
C-01822,KR,40s
C-01823,NZ,30s
C-01824,CA,60+
C-01825,US,60+
C-01826,SG,40s
C-01827,AU,60+
C-01828,CN,20s
C-01829,US,40s
C-01830,GB,20s
C-01831,JP,Under 20
C-01832,AU,20s
C-01833,TH,60+
C-01834,GB,60+
C-01835,US,20s
C-01836,PH,30s
C-01837,JP,60+
C-01838,IN,50s
C-01839,GB,60+
C-01840,GB,Under 20
C-01841,CN,50s
C-01842,AU,Under 20
C-01843,,
C-01844,,
C-01845,US,50s
C-01846,NZ,50s
C-01847,AU,30s
C-01848,GB,30s
C-01849,PH,60+
C-01850,NZ,40s
C-01851,AU,20s
C-01852,US,Under 20
C-01853,IN,20s
C-01854,IN,20s
C-01855,CN,50s
C-01856,NZ,60+
C-01857,CN,50s
C-01858,,
C-01859,CN,30s
C-01860,US,40s
C-01861,IN,Under 20
C-01862,CN,Under 20
C-01863,CN,30s
C-01864,CA,20s
C-01865,CA,40s
C-01866,NZ,50s
C-01867,AU,50s
C-01868,GB,50s
C-01869,US,40s
C-01870,PH,50s
C-01871,CN,20s
C-01872,PH,60+
C-01873,GB,20s
C-01874,US,30s
C-01875,PH,20s
C-01876,US,50s
C-01877,AU,20s
C-01878,,
C-01879,US,30s
C-01880,,
C-01881,NZ,30s
C-01882,,
C-01883,US,20s
C-01884,CN,50s
C-01885,JP,60+
C-01886,GB,30s
C-01887,JP,30s
C-01888,IN,20s
C-01889,CN,30s
C-01890,GB,30s
C-01891,US,20s
C-01892,CN,20s
C-01893,CN,40s
C-01894,AU,60+
C-01895,KR,Under 20
C-01896,AU,40s
C-01897,,
C-01898,IN,Under 20
C-01899,,
C-01900,CN,60+
C-01901,US,Under 20
C-01902,JP,50s
C-01903,IN,30s
C-01904,AU,Under 20
C-01905,CN,20s
C-01906,US,30s
C-01907,AU,60+
C-01908,US,Under 20
C-01909,JP,40s
C-01910,KR,30s
C-01911,IN,40s
C-01912,KR,40s
C-01913,CN,50s
C-01914,,
C-01915,CN,40s
C-01916,KR,30s
C-01917,,
C-01918,AU,60+
C-01919,CN,20s
C-01920,,
C-01921,IN,40s
C-01922,CN,Under 20
C-01923,PH,60+
C-01924,GB,20s
C-01925,AU,Under 20
C-01926,CN,Under 20
C-01927,NZ,30s
C-01928,US,20s
C-01929,KR,Under 20
C-01930,IN,50s
C-01931,CN,30s
C-01932,JP,Under 20
C-01933,KR,30s
C-01934,,
C-01935,IN,60+
C-01936,IN,50s
C-01937,CN,30s
C-01938,GB,60+
C-01939,IN,40s
C-01940,SG,40s
C-01941,AU,Under 20
C-01942,CA,Under 20
C-01943,CN,20s
C-01944,NZ,30s
C-01945,TH,30s
C-01946,AU,20s
C-01947,SG,50s
C-01948,CN,Under 20
C-01949,KR,30s
C-01950,JP,Under 20
C-01951,GB,60+
C-01952,JP,Under 20
C-01953,TH,50s
C-01954,NZ,50s
C-01955,TH,Under 20
C-01956,NZ,50s
C-01957,GB,Under 20
C-01958,CN,50s
C-01959,,
C-01960,JP,60+
C-01961,,
C-01962,GB,30s
C-01963,CN,20s
C-01964,TH,20s
C-01965,CN,60+
C-01966,NZ,40s
C-01967,CN,Under 20
C-01968,IN,Under 20
C-01969,GB,20s
C-01970,CN,Under 20
C-01971,CN,40s
C-01972,,
C-01973,NZ,60+
C-01974,CN,Under 20
C-01975,NZ,Under 20
C-01976,JP,30s
C-01977,,
C-01978,AU,60+
C-01979,,
C-01980,,
C-01981,IN,30s
C-01982,CN,30s
C-01983,US,60+
C-01984,IN,30s
C-01985,CA,Under 20
C-01986,IN,20s
C-01987,AU,40s
C-01988,PH,50s
C-01989,CN,40s
C-01990,AU,50s
C-01991,JP,Under 20
C-01992,AU,60+
C-01993,TH,40s
C-01994,AU,Under 20
C-01995,CA,60+
C-01996,KR,20s
C-01997,CN,60+
C-01998,,
C-01999,US,50s
C-02000,CN,Under 20
C-02001,US,60+
C-02002,KR,40s
C-02003,GB,40s
C-02004,AU,20s
C-02005,US,60+
C-02006,,
C-02007,,
C-02008,CN,60+
C-02009,KR,60+
C-02010,CN,20s
C-02011,US,60+
C-02012,CN,Under 20
C-02013,KR,30s
C-02014,KR,60+
C-02015,,
C-02016,GB,Under 20
C-02017,NZ,30s
C-02018,CA,Under 20
C-02019,TH,60+
C-02020,,
C-02021,CA,50s
C-02022,JP,Under 20
C-02023,AU,20s
C-02024,US,30s
C-02025,CA,30s
C-02026,JP,60+
C-02027,TH,Under 20
C-02028,AU,Under 20
C-02029,TH,50s
C-02030,US,60+
C-02031,AU,40s
C-02032,PH,40s
C-02033,CN,50s
C-02034,GB,50s
C-02035,CA,30s
C-02036,TH,50s
C-02037,CN,20s
C-02038,SG,40s
C-02039,CA,20s
C-02040,AU,Under 20
C-02041,JP,20s
C-02042,AU,30s
C-02043,GB,60+
C-02044,CA,Under 20
C-02045,KR,20s
C-02046,CN,Under 20
C-02047,IN,50s
C-02048,TH,30s
C-02049,GB,60+
C-02050,CN,50s
C-02051,CN,40s
C-02052,IN,30s
C-02053,US,50s
C-02054,NZ,Under 20
C-02055,US,20s
C-02056,JP,30s
C-02057,CN,60+
C-02058,AU,50s
C-02059,GB,50s
C-02060,KR,60+
C-02061,PH,30s
C-02062,KR,50s
C-02063,NZ,60+
C-02064,GB,20s
C-02065,CN,20s
C-02066,CA,Under 20
C-02067,CN,30s
C-02068,US,50s
C-02069,US,60+
C-02070,SG,40s
C-02071,US,40s
C-02072,KR,40s
C-02073,JP,20s
C-02074,CN,30s
C-02075,PH,40s
C-02076,AU,30s
C-02077,AU,40s
C-02078,NZ,60+
C-02079,KR,50s
C-02080,US,50s
C-02081,TH,Under 20
C-02082,AU,60+
C-02083,GB,60+
C-02084,SG,40s
C-02085,JP,60+
C-02086,JP,50s
C-02087,CN,20s
C-02088,US,30s
C-02089,,
C-02090,KR,30s
C-02091,KR,40s
C-02092,US,60+
C-02093,,
C-02094,GB,20s
C-02095,GB,20s
C-02096,,
C-02097,,
C-02098,PH,Under 20
C-02099,NZ,40s
C-02100,CN,30s
C-02101,GB,50s
C-02102,CN,60+
C-02103,US,40s
C-02104,GB,50s
C-02105,US,60+
C-02106,,
C-02107,,
C-02108,GB,Under 20
C-02109,JP,20s
C-02110,GB,Under 20
C-02111,NZ,20s
C-02112,CN,50s
C-02113,TH,40s
C-02114,,
C-02115,CN,40s
C-02116,NZ,50s
C-02117,NZ,50s
C-02118,US,30s
C-02119,JP,40s
C-02120,CN,20s
C-02121,,
C-02122,CN,60+
C-02123,CN,50s
C-02124,,
C-02125,CN,50s
C-02126,NZ,40s
C-02127,SG,20s
C-02128,NZ,Under 20
C-02129,AU,30s
C-02130,IN,60+
C-02131,CN,20s
C-02132,KR,40s
C-02133,NZ,20s
C-02134,,
C-02135,CN,30s
C-02136,KR,40s
C-02137,GB,30s
C-02138,AU,50s
C-02139,PH,40s
C-02140,AU,50s
C-02141,SG,50s
C-02142,US,30s
C-02143,CN,60+
C-02144,CN,30s
C-02145,CN,20s
C-02146,US,30s
C-02147,CN,60+
C-02148,GB,60+
C-02149,GB,30s
C-02150,US,40s
C-02151,GB,Under 20
C-02152,NZ,30s
C-02153,CN,60+
C-02154,PH,20s
C-02155,US,40s
C-02156,AU,40s
C-02157,CN,20s
C-02158,PH,30s
C-02159,PH,Under 20
C-02160,SG,60+
C-02161,PH,30s
C-02162,KR,40s
C-02163,,
C-02164,,
C-02165,,
C-02166,,
C-02167,CN,40s
C-02168,JP,50s
C-02169,CN,Under 20
C-02170,KR,60+
C-02171,CN,30s
C-02172,US,50s
C-02173,CN,20s
C-02174,KR,60+
C-02175,CN,40s
C-02176,PH,30s
C-02177,KR,30s
C-02178,PH,50s
C-02179,NZ,50s
C-02180,,
C-02181,IN,30s
C-02182,KR,40s
C-02183,GB,60+
C-02184,AU,50s
C-02185,CN,60+
C-02186,,
C-02187,CN,20s
C-02188,KR,60+
C-02189,AU,Under 20
C-02190,CN,50s
C-02191,US,60+
C-02192,,
C-02193,US,50s
C-02194,JP,60+
C-02195,CN,50s
C-02196,CN,30s
C-02197,GB,20s
C-02198,CN,60+
C-02199,AU,40s
C-02200,,
C-02201,NZ,Under 20
C-02202,,
C-02203,KR,60+
C-02204,IN,40s
C-02205,SG,40s
C-02206,KR,50s
C-02207,,
C-02208,IN,20s
C-02209,CN,60+
C-02210,,
C-02211,CN,60+
C-02212,GB,20s
C-02213,JP,50s
C-02214,US,20s
C-02215,CN,40s
C-02216,CN,60+
C-02217,IN,50s
C-02218,US,40s
C-02219,,
C-02220,CN,Under 20
C-02221,CN,30s
C-02222,IN,50s
C-02223,,
C-02224,AU,40s
C-02225,CN,40s
C-02226,TH,20s
C-02227,PH,20s
C-02228,IN,60+
C-02229,US,Under 20
C-02230,CN,Under 20
C-02231,JP,60+
C-02232,,
C-02233,,
C-02234,IN,30s
C-02235,US,30s
C-02236,CN,Under 20
C-02237,TH,30s
C-02238,TH,40s
C-02239,IN,50s
C-02240,IN,Under 20
C-02241,GB,50s
C-02242,SG,Under 20
C-02243,,
C-02244,,
C-02245,,
C-02246,JP,Under 20
C-02247,KR,30s
C-02248,JP,Under 20
C-02249,GB,60+
C-02250,JP,20s
C-02251,JP,30s
C-02252,IN,30s
C-02253,CN,60+
C-02254,CA,60+
C-02255,NZ,30s
C-02256,SG,Under 20
C-02257,JP,60+
C-02258,PH,60+
C-02259,CN,40s
C-02260,TH,60+
C-02261,AU,50s
C-02262,KR,Under 20
C-02263,CN,60+
C-02264,CN,Under 20
C-02265,CA,40s
C-02266,CN,60+
C-02267,AU,Under 20
C-02268,GB,20s
C-02269,CN,Under 20
C-02270,AU,40s
C-02271,CN,40s
C-02272,,
C-02273,,
C-02274,JP,30s
C-02275,US,60+
C-02276,TH,60+
C-02277,US,50s
C-02278,US,20s
C-02279,NZ,40s
C-02280,US,Under 20
C-02281,CN,Under 20
C-02282,AU,50s
C-02283,GB,50s
C-02284,,
C-02285,GB,50s
C-02286,CN,60+
C-02287,PH,60+
C-02288,US,50s
C-02289,CN,50s
C-02290,US,30s
C-02291,IN,20s
C-02292,AU,30s
C-02293,GB,50s
C-02294,IN,60+
C-02295,,
C-02296,NZ,60+
C-02297,IN,50s
C-02298,AU,50s
C-02299,,
C-02300,GB,Under 20
C-02301,TH,20s
C-02302,US,Under 20
C-02303,CN,30s
C-02304,AU,20s
C-02305,NZ,20s
C-02306,NZ,20s
C-02307,AU,20s
C-02308,,
C-02309,SG,Under 20
C-02310,GB,30s
C-02311,GB,20s
C-02312,SG,20s
C-02313,TH,50s
C-02314,GB,30s
C-02315,PH,60+
C-02316,,
C-02317,US,30s
C-02318,US,30s
C-02319,NZ,20s
C-02320,IN,Under 20
C-02321,,
C-02322,AU,Under 20
C-02323,JP,20s
C-02324,CN,Under 20
C-02325,NZ,60+
C-02326,US,50s
C-02327,,
C-02328,JP,50s
C-02329,US,40s
C-02330,,
C-02331,AU,Under 20
C-02332,GB,Under 20
C-02333,CN,20s
C-02334,SG,40s
C-02335,,
C-02336,,
C-02337,GB,20s
C-02338,KR,50s
C-02339,CN,40s
C-02340,AU,50s
C-02341,PH,40s
C-02342,KR,Under 20
C-02343,,
C-02344,CN,60+
C-02345,SG,60+
C-02346,KR,20s
C-02347,KR,40s
C-02348,AU,20s
C-02349,GB,40s
C-02350,IN,40s
C-02351,IN,40s
C-02352,CN,30s
C-02353,,
C-02354,,
C-02355,CA,Under 20
C-02356,IN,40s
C-02357,CN,Under 20
C-02358,TH,40s
C-02359,,
C-02360,CN,40s
C-02361,,
C-02362,PH,30s
C-02363,IN,30s
C-02364,US,Under 20
C-02365,,
C-02366,,
C-02367,GB,40s
C-02368,US,30s
C-02369,NZ,30s
C-02370,GB,40s
C-02371,NZ,50s
C-02372,GB,30s
C-02373,IN,20s
C-02374,KR,30s
C-02375,NZ,30s
C-02376,AU,40s
C-02377,KR,50s
C-02378,PH,60+
C-02379,US,20s
C-02380,SG,50s
C-02381,KR,40s
C-02382,CA,40s
C-02383,US,60+
C-02384,GB,40s
C-02385,CN,40s
C-02386,PH,40s
C-02387,,
C-02388,AU,40s
C-02389,TH,Under 20
C-02390,KR,20s
C-02391,JP,40s
C-02392,CA,20s
C-02393,CN,20s
C-02394,JP,Under 20
C-02395,CN,50s
C-02396,CN,40s
C-02397,,
C-02398,IN,Under 20
C-02399,SG,40s
C-02400,TH,60+
C-02401,CA,40s
C-02402,KR,20s
C-02403,GB,40s
C-02404,CN,30s
C-02405,,
C-02406,CN,60+
C-02407,AU,40s
C-02408,CN,50s
C-02409,GB,30s
C-02410,JP,30s
C-02411,AU,50s
C-02412,JP,50s
C-02413,CN,30s
C-02414,CN,20s
C-02415,AU,20s
C-02416,US,30s
C-02417,NZ,Under 20
C-02418,PH,40s
C-02419,KR,40s
C-02420,AU,20s
C-02421,,
C-02422,SG,20s
C-02423,,
C-02424,CA,Under 20
C-02425,AU,60+
C-02426,GB,40s
C-02427,SG,50s
C-02428,GB,40s
C-02429,JP,20s
C-02430,GB,20s
C-02431,IN,30s
C-02432,JP,50s
C-02433,US,50s
C-02434,US,60+
C-02435,CN,Under 20
C-02436,CN,20s
C-02437,GB,40s
C-02438,,
C-02439,IN,20s
C-02440,CN,60+
C-02441,,
C-02442,CN,20s
C-02443,KR,Under 20
C-02444,,
C-02445,NZ,30s
C-02446,AU,30s
C-02447,KR,60+
C-02448,AU,30s
C-02449,CN,40s
C-02450,IN,Under 20
C-02451,US,60+
C-02452,CN,20s
C-02453,CN,60+
C-02454,US,30s
C-02455,GB,20s
C-02456,GB,30s
C-02457,US,20s
C-02458,CN,50s
C-02459,AU,Under 20
C-02460,PH,30s
C-02461,KR,20s
C-02462,US,30s
C-02463,GB,50s
C-02464,KR,40s
C-02465,,
C-02466,IN,50s
C-02467,KR,40s
C-02468,AU,20s
C-02469,GB,Under 20
C-02470,,
C-02471,GB,60+
C-02472,CN,60+
C-02473,GB,Under 20
C-02474,GB,20s
C-02475,GB,50s
C-02476,CA,30s
C-02477,SG,30s
C-02478,JP,Under 20
C-02479,CN,50s
C-02480,AU,50s
C-02481,AU,40s
C-02482,SG,30s
C-02483,AU,30s
C-02484,CN,40s
C-02485,GB,20s
C-02486,NZ,Under 20
C-02487,GB,60+
C-02488,,
C-02489,GB,40s
C-02490,CN,60+
C-02491,JP,40s
C-02492,IN,30s
C-02493,CN,60+
C-02494,PH,50s
C-02495,GB,20s
C-02496,PH,30s
C-02497,NZ,40s
C-02498,PH,20s
C-02499,PH,60+
C-02500,,
C-02501,CA,Under 20
C-02502,CN,50s
C-02503,KR,20s
C-02504,GB,40s
C-02505,KR,60+
C-02506,,
C-02507,KR,40s
C-02508,US,40s
C-02509,CN,20s
C-02510,IN,60+
C-02511,CN,30s
C-02512,SG,20s
C-02513,KR,Under 20
C-02514,AU,30s
C-02515,KR,Under 20
C-02516,KR,20s
C-02517,AU,60+
C-02518,,
C-02519,JP,40s
C-02520,AU,40s
C-02521,NZ,50s
C-02522,AU,Under 20
C-02523,GB,20s
C-02524,JP,20s
C-02525,KR,60+
C-02526,JP,20s
C-02527,GB,20s
C-02528,TH,60+
C-02529,KR,60+
C-02530,IN,40s
C-02531,AU,30s
C-02532,KR,20s
C-02533,JP,20s
C-02534,US,20s
C-02535,AU,60+
C-02536,KR,Under 20
C-02537,IN,60+
C-02538,,
C-02539,US,Under 20
C-02540,KR,30s
C-02541,GB,20s
C-02542,IN,30s
C-02543,SG,60+
C-02544,CN,20s
C-02545,,
C-02546,KR,60+
C-02547,AU,40s
C-02548,NZ,30s
C-02549,CN,20s
C-02550,CN,50s
C-02551,AU,30s
C-02552,IN,60+
C-02553,CN,60+
C-02554,GB,50s
C-02555,NZ,20s
C-02556,JP,50s
C-02557,,
C-02558,AU,40s
C-02559,NZ,60+
C-02560,KR,Under 20
C-02561,CN,30s
C-02562,,
C-02563,CN,40s
C-02564,AU,50s
C-02565,CN,40s
C-02566,CN,30s
C-02567,,
C-02568,NZ,20s
C-02569,CN,Under 20
C-02570,US,Under 20
C-02571,NZ,50s
C-02572,AU,50s
C-02573,CN,60+
C-02574,,
C-02575,CA,60+
C-02576,SG,40s
C-02577,AU,50s
C-02578,JP,Under 20
C-02579,CN,Under 20
C-02580,JP,Under 20
C-02581,PH,60+
C-02582,NZ,Under 20
C-02583,IN,60+
C-02584,KR,30s
C-02585,TH,50s
C-02586,US,30s
C-02587,PH,30s
C-02588,SG,40s
C-02589,CN,50s
C-02590,CN,30s
C-02591,AU,40s
C-02592,,
C-02593,PH,Under 20
C-02594,PH,60+
C-02595,SG,40s
C-02596,CN,Under 20
C-02597,SG,30s
C-02598,,
C-02599,CN,50s
